athletics,M,100 metres,2012 London,1, Usain Bolt,Jamaica,JAM,North America
athletics,M,100 metres,2012 London,2, Yohan Blake,Jamaica,JAM,North America
athletics,M,100 metres,2012 London,3, Justin Gatlin,United States,USA,North America
athletics,M,200 metres,1900 Paris,1, Walter Tewksbury,United States,USA,North America
athletics,M,200 metres,1900 Paris,2, Norman Pritchard,India,IND,Asia
athletics,M,200 metres,1900 Paris,3, Stan Rowley,Australia,AUS,Oceania
athletics,M,200 metres,1904 St. Louis,1, Archie Hahn,United States,USA,North America
athletics,M,200 metres,1904 St. Louis,2, Nate Cartmell,United States,USA,North America
athletics,M,200 metres,1904 St. Louis,3, William Hogenson,United States,USA,North America
athletics,M,200 metres,1908 London,1, Robert Kerr,Canada,CAN,North America
athletics,M,200 metres,1908 London,2, Robert Cloughen,United States,USA,North America
athletics,M,200 metres,1908 London,3, Nate Cartmell,United States,USA,North America
athletics,M,200 metres,1912 Stockholm,1, Ralph Craig,United States,USA,North America
athletics,M,200 metres,1912 Stockholm,2, Donald Lippincott,United States,USA,North America
athletics,M,200 metres,1912 Stockholm,3, Willie Applegarth,Great Britain,GBR,Europe
athletics,M,200 metres,1920 Antwerp,1, Allen Woodring,United States,USA,North America
athletics,M,200 metres,1920 Antwerp,2, Charlie Paddock,United States,USA,North America
athletics,M,200 metres,1920 Antwerp,3, Harry Edward,Great Britain,GBR,Europe
athletics,M,200 metres,1924 Paris,1, Jackson Scholz,United States,USA,North America
athletics,M,200 metres,1924 Paris,2, Charlie Paddock,United States,USA,North America
athletics,M,200 metres,1924 Paris,3, Eric Liddell,Great Britain,GBR,Europe
athletics,M,200 metres,1928 Amsterdam,1, Percy Williams,Canada,CAN,North America
athletics,M,200 metres,1928 Amsterdam,2, Walter Rangeley,Great Britain,GBR,Europe
athletics,M,200 metres,1928 Amsterdam,3, Helmut Körnig,Germany,GER,Europe
athletics,M,200 metres,1932 Los Angeles,1, Eddie Tolan,United States,USA,North America
athletics,M,200 metres,1932 Los Angeles,2, George Simpson,United States,USA,North America
athletics,M,200 metres,1932 Los Angeles,3, Ralph Metcalfe,United States,USA,North America
athletics,M,200 metres,1936 Berlin,1, Jesse Owens,United States,USA,North America
athletics,M,200 metres,1936 Berlin,2, Mack Robinson,United States,USA,North America
athletics,M,200 metres,1936 Berlin,3, Tinus Osendarp,Netherlands,NED,Europe
athletics,M,200 metres,1948 London,1, Mel Patton,United States,USA,North America
athletics,M,200 metres,1948 London,2, Barney Ewell,United States,USA,North America
athletics,M,200 metres,1948 London,3, Lloyd LaBeach,Panama,PAN,North America
athletics,M,200 metres,1952 Helsinki,1, Andy Stanfield,United States,USA,North America
athletics,M,200 metres,1952 Helsinki,2, Thane Baker,United States,USA,North America
athletics,M,200 metres,1952 Helsinki,3, James Gathers,United States,USA,North America
athletics,M,200 metres,1956 Melbourne,1, Bobby Morrow,United States,USA,North America
athletics,M,200 metres,1956 Melbourne,2, Andy Stanfield,United States,USA,North America
athletics,M,200 metres,1956 Melbourne,3, Thane Baker,United States,USA,North America
athletics,M,200 metres,1960 Rome,1, Livio Berruti,Italy,ITA,Europe
athletics,M,200 metres,1960 Rome,2, Lester Carney,United States,USA,North America
athletics,M,200 metres,1960 Rome,3, Abdoulaye Seye,France,FRA,Europe
athletics,M,200 metres,1964 Tokyo,1, Henry Carr,United States,USA,North America
athletics,M,200 metres,1964 Tokyo,2, Paul Drayton,United States,USA,North America
athletics,M,200 metres,1964 Tokyo,3, Edwin Roberts,Trinidad and Tobago,TRI,South America
athletics,M,200 metres,1968 Mexico City,1, Tommie Smith,United States,USA,North America
